Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Proposing the Development of Dataset of Cartoon Character using DCGAN Model","Future Data and Security Engineering. Big Data, Security and Privacy, Smart City and Industry 4.0 Applications","","","","10.1007/978-981-33-4370-2_23","Phat Nguyen HuuThuong Nguyen Thi MaiQuang Tran MinhHieu Nguyen Trong","2020","http://link.springer.com/chapter/10.1007/978-981-33-4370-2_23","Chapter"
"Blind Vision","Computer Vision – ECCV 2006","","","","10.1007/11744078_1","Shai AvidanMoshe Butman","2006","http://link.springer.com/chapter/10.1007/11744078_1","Chapter"
"Importance Weighted Generative Networks","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-030-46147-8_15","Maurice DiesendruckEthan R. ElenbergRajat SenGuy W. ColeSanjay ShakkottaiSinead A. Williamson","2020","http://link.springer.com/chapter/10.1007/978-3-030-46147-8_15","Chapter"
"Security and Lock-In","Economics of Information Security","","","","10.1007/1-4020-8090-5_17","Tom LookabaughDouglas C. Sicker","2004","http://link.springer.com/chapter/10.1007/1-4020-8090-5_17","Chapter"
"Inclusive Social Tagging: A Paradigm for Tagging-Services in the Knowledge Society","Emerging Technologies and Information Systems for the Knowledge Society","","","","10.1007/978-3-540-87781-3_1","Michael DerntlThorsten HampelRenate Motschnig-PitrikTomáš Pitner","2008","http://link.springer.com/chapter/10.1007/978-3-540-87781-3_1","Chapter"
"Agent-Based Applications in Health Care","Applications of Software Agent Technology in the Health Care Domain","","","","10.1007/978-3-0348-7976-7_2","John NealonAntonio Moreno","2003","http://link.springer.com/chapter/10.1007/978-3-0348-7976-7_2","Chapter"
"Computational Design for Complexity-Related Issues. Strategies to Foresee Emergent Behavior and Social Conflict in the ‘Organic’ Tirana","Human-Computer Interaction. Human Values and Quality of Life","","","","10.1007/978-3-030-49065-2_40","Sotir DhamoLedian BregasiValerio Perna","2020","http://link.springer.com/chapter/10.1007/978-3-030-49065-2_40","Chapter"
"Artificial Intelligence in Protecting Smart Building’s Cloud Service Infrastructure from Cyberattacks","Cyber Defence in  the Age of AI, Smart Societies and Augmented Humanity","","","","10.1007/978-3-030-35746-7_14","Petri VähäkainuMartti LehtoAntti KariluotoAnniina Ojalainen","2020","http://link.springer.com/chapter/10.1007/978-3-030-35746-7_14","Chapter"
"A Consortium Blockchain-Based Model for Data Sharing in Internet of Vehicles","Smart City and Informatization","","","","10.1007/978-981-15-1301-5_21","Qifan WangLei ZhouZhe TangGuojun Wang","2019","http://link.springer.com/chapter/10.1007/978-981-15-1301-5_21","Chapter"
"A survey of visual analytics techniques for machine learning","Computational Visual Media","","7","1","10.1007/s41095-020-0191-7","Jun YuanChangjian ChenWeikai YangMengchen LiuJiazhi XiaShixia Liu","2021","http://link.springer.com/article/10.1007/s41095-020-0191-7","Article"
"Improving Small-Scale Dataset Classification Performance Through Weak-Label Samples Generated by InfoGAN","Big Data","","","","10.1007/978-981-16-0705-9_6","Meiyang ZhangQiguang MiaoDaohui GeZili Zhang","2021","http://link.springer.com/chapter/10.1007/978-981-16-0705-9_6","Chapter"
"Self Domain Adapted Network","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_43","Yufan HeAaron CarassLianrui ZuoBlake E. DeweyJerry L. Prince","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_43","Chapter"
"Study on Trust Model in P2P","Innovative Computing and Information","","","","10.1007/978-3-642-23993-9_44","Gan Zhi-gang","2011","http://link.springer.com/chapter/10.1007/978-3-642-23993-9_44","Chapter"
"SeCEE: Edge Environment Data Sharing and Processing Framework with Service Composition","Data Science","","","","10.1007/978-981-13-2203-7_4","Yasu ZhangHaiquan WangJiejie ZhaoBo An","2018","http://link.springer.com/chapter/10.1007/978-981-13-2203-7_4","Chapter"
"Efficient Circuit-Based PSI via Cuckoo Hashing","Advances in Cryptology – EUROCRYPT 2018","","","","10.1007/978-3-319-78372-7_5","Benny PinkasThomas SchneiderChristian WeinertUdi Wieder","2018","http://link.springer.com/chapter/10.1007/978-3-319-78372-7_5","Chapter"
"Agent-Based Decision Support for Allocating Caregiving Resources in a Dementia Scenario","Multiagent System Technologies","","","","10.1007/978-3-319-27343-3_13","Tobias WidmerMarc Premm","2015","http://link.springer.com/chapter/10.1007/978-3-319-27343-3_13","Chapter"
"Echocardiography View Classification Using Quality Transfer Star Generative Adversarial Networks","Medical Image Computing and Computer Assisted Intervention – MICCAI 2019","","","","10.1007/978-3-030-32245-8_76","Zhibin LiaoMohammad H. JafariHany GirgisKenneth GinRobert RohlingPurang AbolmaesumiTeresa Tsang","2019","http://link.springer.com/chapter/10.1007/978-3-030-32245-8_76","Chapter"
"Perception consistency ultrasound image super-resolution via self-supervised CycleGAN","Neural Computing and Applications","","","","10.1007/s00521-020-05687-9","Heng LiuJianyong LiuShudong HouTao TaoJungong Han","2021","http://link.springer.com/article/10.1007/s00521-020-05687-9","Article"
"Dual Learning for Image Translation and Beyond","Dual Learning","","","","10.1007/978-981-15-8884-6_5","Tao Qin","2020","http://link.springer.com/chapter/10.1007/978-981-15-8884-6_5","Chapter"
"High Quality Facial Surface and Texture Synthesis via Generative Adversarial Networks","Computer Vision – ECCV 2018 Workshops","","","","10.1007/978-3-030-11015-4_36","Ron SlossbergGil ShamaiRon Kimmel","2019","http://link.springer.com/chapter/10.1007/978-3-030-11015-4_36","Chapter"
"Deep Learning Guided Double Hidden Layer Neural Synchronization Through Mutual Learning","Neural Processing Letters","","53","2","10.1007/s11063-021-10443-8","Arindam Sarkar","2021","http://link.springer.com/article/10.1007/s11063-021-10443-8","Article"
"Retinopathy Diagnosis Using Semi-supervised Multi-channel Generative Adversarial Network","Ophthalmic Medical Image Analysis","","","","10.1007/978-3-030-32956-3_22","Yingpeng XieQiwei WanGuozhen ChenYanwu XuBaiying Lei","2019","http://link.springer.com/chapter/10.1007/978-3-030-32956-3_22","Chapter"
"Exploiting Multi-source Data for Adversarial Driving Style Representation Learning","Database Systems for Advanced Applications","","","","10.1007/978-3-030-73194-6_33","Zhidan LiuJunhong ZhengZengyang GongHaodi ZhangKaishun Wu","2021","http://link.springer.com/chapter/10.1007/978-3-030-73194-6_33","Chapter"
"Topological Features Based Entity Disambiguation","Journal of Computer Science and Technology","","31","5","10.1007/s11390-016-1679-6","Chen-Chen SunDe-Rong ShenYue KouTie-Zheng NieGe Yu","2016","http://link.springer.com/article/10.1007/s11390-016-1679-6","Article"
"User-Friendly Authentication and Authorization Using a Smartphone Proxy","Computer Aided Systems Theory - EUROCAST 2013","","","","10.1007/978-3-642-53862-9_50","Luis RoalterStefan DiewaldAndreas MöllerTobias StockingerMatthias Kranz","2013","http://link.springer.com/chapter/10.1007/978-3-642-53862-9_50","Chapter"
"Customer Unification in E-Commerce","Intelligent Data Engineering and Automated Learning – IDEAL 2013","","","","10.1007/978-3-642-41278-3_18","Marcin GorawskiAleksander ChrószczAnna Gorawska","2013","http://link.springer.com/chapter/10.1007/978-3-642-41278-3_18","Chapter"
"Automatic Document Organization in a P2P Environment","Advances in Information Retrieval","","","","10.1007/11735106_24","Stefan SiersdorferSergej Sizov","2006","http://link.springer.com/chapter/10.1007/11735106_24","Chapter"
"On Locating Malicious Code in Piggybacked Android Apps","Journal of Computer Science and Technology","","32","6","10.1007/s11390-017-1786-z","Li LiDaoyuan LiTegawendé F. BissyandéJacques KleinHaipeng CaiDavid LoYves Le Traon","2017","http://link.springer.com/article/10.1007/s11390-017-1786-z","Article"
"Cumulative Algebraic Signatures for Fast String Search, Protection Against Incidental Viewing and Corruption of Data in an SDDS","Databases, Information Systems, and Peer-to-Peer Computing","","","","10.1007/978-3-540-71661-7_14","Witold LitwinRiad MokademThomas Schwarz","2007","http://link.springer.com/chapter/10.1007/978-3-540-71661-7_14","Chapter"
"Towards Enabling Next Generation Mobile Mashups","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-642-29154-8_2","Vikas AgarwalSunil GoyalSumit MittalSougata MukherjeaJohn PonzoFenil Shah","2012","http://link.springer.com/chapter/10.1007/978-3-642-29154-8_2","Chapter"
"Variational Autoencoder Based Enhanced Behavior Characteristics Classification for Social Robot Detection","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_17","Xiaolong DengZhengge DaiMingdong SunTiejun Lv","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_17","Chapter"
"Adversarial Examples Attack and Countermeasure for Speech Recognition System: A Survey","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_31","Donghua WangRangding WangLi DongDiqun YanXueyuan ZhangYongkang Gong","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_31","Chapter"
"Supervisable Anonymous Management of Digital Certificates for Blockchain PKI","Data Science","","","","10.1007/978-981-15-7981-3_10","Shaozhuo LiNa WangXuehui DuXuan Li","2020","http://link.springer.com/chapter/10.1007/978-981-15-7981-3_10","Chapter"
"Efficient and Evolvable Key Reconciliation Mechanism in Multi-party Networks Based on Automatic Learning Structure","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_7","Shuaishuai ZhuYiliang HanXiaoyuan YangXuguang Wu","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_7","Chapter"
"Defending Poisoning Attacks in Federated Learning via Adversarial Training Method","Frontiers in Cyber Security","","","","10.1007/978-981-15-9739-8_7","Jiale ZhangDi WuChengyong LiuBing Chen","2020","http://link.springer.com/chapter/10.1007/978-981-15-9739-8_7","Chapter"
"Unsupervised Anomaly Detection of the First Person in Gait from an Egocentric Camera","Advances in Visual Computing","","","","10.1007/978-3-030-64559-5_48","Mana MasudaRyo HachiumaRyo FujiiHideo Saito","2020","http://link.springer.com/chapter/10.1007/978-3-030-64559-5_48","Chapter"
"Deep Learning Approaches for IoT Security in the Big Data Era","Combating Security Challenges in the Age of Big Data","","","","10.1007/978-3-030-35642-2_6","K. S. Sunitha KrishnanSabu M. Thampi","2020","http://link.springer.com/chapter/10.1007/978-3-030-35642-2_6","Chapter"
"Disruptive Innovation: Large Scale Multimedia Data Mining","Multimedia Data Mining and Analytics","","","","10.1007/978-3-319-14998-1_1","Aaron K. BaughmanJia-Yu PanJiang GaoValery A. Petrushin","2015","http://link.springer.com/chapter/10.1007/978-3-319-14998-1_1","Chapter"
"Coalition formation among rational information agents","Agents Breaking Away","","","","10.1007/BFb0031857","Matthias KluschOnn Shehory","1996","http://link.springer.com/chapter/10.1007/BFb0031857","Chapter"
"Lip Movements Generation at a Glance","Computer Vision – ECCV 2018","","","","10.1007/978-3-030-01234-2_32","Lele ChenZhiheng LiRoss K. MaddoxZhiyao DuanChenliang Xu","2018","http://link.springer.com/chapter/10.1007/978-3-030-01234-2_32","Chapter"
"Cross-Dataset Person Re-identification Using Similarity Preserved Generative Adversarial Networks","Knowledge Science, Engineering and Management","","","","10.1007/978-3-319-99247-1_15","Jianming LvXintong Wang","2018","http://link.springer.com/chapter/10.1007/978-3-319-99247-1_15","Chapter"
"Unsupervised Visual Domain Adaptation Using Generative Adversarial Networks","Computer Vision","","","","10.1007/978-3-030-03243-2_820-1","Yogesh BalajiSwami SankaranarayananRama Chellappa","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-030-03243-2_820-1","ReferenceWorkEntry"
"Debiasing Learning to Rank Models with Generative Adversarial Networks","Web and Big Data","","","","10.1007/978-3-030-60290-1_4","Hui CaiChengyu WangXiaofeng He","2020","http://link.springer.com/chapter/10.1007/978-3-030-60290-1_4","Chapter"
"ChaLearn Looking at People: Inpainting and Denoising Challenges","Inpainting and Denoising Challenges","","","","10.1007/978-3-030-25614-2_2","Sergio EscaleraMartí SolerStephane AyacheUmut GüçlüJun WanMeysam MadadiXavier BaróHugo Jair EscalanteIsabelle Guyon","2019","http://link.springer.com/chapter/10.1007/978-3-030-25614-2_2","Chapter"
"Preface","Journal of Computer Science and Technology","","34","1","10.1007/s11390-019-1894-z","Su SongKe LiuZhi-Yong Liu","2019","http://link.springer.com/article/10.1007/s11390-019-1894-z","Article"
"A Survey of Traffic Prediction: from Spatio-Temporal Data to Intelligent Transportation","Data Science and Engineering","","6","1","10.1007/s41019-020-00151-z","Haitao YuanGuoliang Li","2021","http://link.springer.com/article/10.1007/s41019-020-00151-z","Article"
"CONTENTS","Journal of Computer Science and Technology","","30","6","10.1007/s11390-015-1605-3","","2015","http://link.springer.com/article/10.1007/s11390-015-1605-3","Article"
"Actively Secure Garbled Circuits with Constant Communication Overhead in the Plain Model","Theory of Cryptography","","","","10.1007/978-3-319-70503-3_1","Carmit HazayYuval IshaiMuthuramakrishnan Venkitasubramaniam","2017","http://link.springer.com/chapter/10.1007/978-3-319-70503-3_1","Chapter"
"Attacks and Improvements of QSDC Schemes Based on CSS Codes","Bio-Inspired Computing and Applications","","","","10.1007/978-3-642-24553-4_33","Xiangfu ZouDaowen Qiu","2012","http://link.springer.com/chapter/10.1007/978-3-642-24553-4_33","Chapter"
"The Impact of Data Correlation on Identification of Computer-Generated Face Images","Biometric Recognition","","","","10.1007/978-3-030-31456-9_17","Taifeng TanXin WangYuchun FangWei Zhang","2019","http://link.springer.com/chapter/10.1007/978-3-030-31456-9_17","Chapter"
"Deep semantic segmentation of natural and medical images: a review","Artificial Intelligence Review","","54","1","10.1007/s10462-020-09854-1","Saeid Asgari TaghanakiKumar AbhishekJoseph Paul CohenJulien Cohen-AdadGhassan Hamarneh","2021","http://link.springer.com/article/10.1007/s10462-020-09854-1","Article"
"Case-based reasoning and its implications for legal expert systems","Artificial Intelligence and Law","","1","2 - 3","10.1007/BF00114920","Kevin D. Ashley","1992","http://link.springer.com/article/10.1007/BF00114920","Article"
"Brain CT Image with Motion Artifact Augmentation Based on PGGAN and FBP for Artifact Detection","Advanced Data Mining and Applications","","","","10.1007/978-3-030-65390-3_29","Che WangXiaoyu SunBin ZhangGuanjun LaiDan YuKang Su","2020","http://link.springer.com/chapter/10.1007/978-3-030-65390-3_29","Chapter"
"Smart Well Data Generation via Boundary-Seeking Deep Convolutional Generative Adversarial Networks","Artificial Intelligence and Soft Computing","","","","10.1007/978-3-030-20912-4_7","Allan GurwiczSmith Arauco CanchumuniMarco Aurélio Cavalcanti Pacheco","2019","http://link.springer.com/chapter/10.1007/978-3-030-20912-4_7","Chapter"
"The Future of AI","Artificial Intelligence Basics","","","","10.1007/978-1-4842-5028-0_9","Tom Taulli","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5028-0_9","Chapter"
"Deep Face Swapping via Cross-Identity Adversarial Training","MultiMedia Modeling","","","","10.1007/978-3-030-67835-7_7","Shuhui YangHan XueJun LingLi SongRong Xie","2021","http://link.springer.com/chapter/10.1007/978-3-030-67835-7_7","Chapter"
"Actions and plans in multiagent domains","Coordinating Plans of Autonomous Agents","","","","10.1007/BFb0016369","","1992","http://link.springer.com/chapter/10.1007/BFb0016369","Chapter"
"A Data Space System for the Criminal Justice Chain","On the Move to Meaningful Internet Systems: OTM 2013 Conferences","","","","10.1007/978-3-642-41030-7_55","Jan van DijkSunil ChoenniErik LeertouwerMarco SpruitSjaak Brinkkemper","2013","http://link.springer.com/chapter/10.1007/978-3-642-41030-7_55","Chapter"
"Applying Radio Frequency Identification Technology in Retail Trade from a Logistics Point of View – An Overview over Opportunities and Limitations","Computational Logistics","","","","10.1007/978-3-642-33587-7_8","Joachim R. Daduna","2012","http://link.springer.com/chapter/10.1007/978-3-642-33587-7_8","Chapter"
"Data Explosion, Data Nature and Dataology","Brain Informatics","","","","10.1007/978-3-642-04954-5_25","Yangyong ZhuNing ZhongYun Xiong","2009","http://link.springer.com/chapter/10.1007/978-3-642-04954-5_25","Chapter"
"PM-GANs: Discriminative Representation Learning for Action Recognition Using Partial-Modalities","Computer Vision – ECCV 2018","","","","10.1007/978-3-030-01231-1_24","Lan WangChenqiang GaoLuyu YangYue ZhaoWangmeng ZuoDeyu Meng","2018","http://link.springer.com/chapter/10.1007/978-3-030-01231-1_24","Chapter"
"Practical Lessons from Generating Synthetic Healthcare Data with Bayesian Networks","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_3","Juan de BenedettiNamir OuesZhenchen WangPuja MylesAllan Tucker","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_3","Chapter"
"UCTx: A Multi-Agent System to Assist a Transplant Coordination Unit","Applied Intelligence","","20","1","10.1023/B:APIN.0000011142.91514.57","U. CortésJ. Vázquez-SalcedaA. López-NavidadF. Caballero","2004","http://link.springer.com/article/10.1023/B%3AAPIN.0000011142.91514.57","Article"
"Creating Smarter Spaces to Unleash the Potential of Health Apps","Smart Homes and Health Telematics, Designing a Better Future: Urban Assisted Living","","","","10.1007/978-3-319-94523-1_12","Jean-Marie BonninValérie GayFrédéric Weis","2018","http://link.springer.com/chapter/10.1007/978-3-319-94523-1_12","Chapter"
"Sensor-Aware Web interface","Intelligent Interactive Multimedia Systems and Services","","","","10.1007/978-3-642-14619-0_29","Marco AnisettiValerio BellandiErnesto DamianiAlessandro MondoniLuigi Arnone","2010","http://link.springer.com/chapter/10.1007/978-3-642-14619-0_29","Chapter"
"A Review of Recent Advances in Identity Identification Technology Based on Biological Features","Big Data","","","","10.1007/978-981-13-2922-7_12","Jianan TangPengfei XuWeike NieYi ZhangRuyi Liu","2018","http://link.springer.com/chapter/10.1007/978-981-13-2922-7_12","Chapter"
"An end-to-end convolutional network for joint detecting and denoising adversarial perturbations in vehicle classification","Computational Visual Media","","","","10.1007/s41095-021-0202-3","Peng LiuHuiyuan FuHuadong Ma","2021","http://link.springer.com/article/10.1007/s41095-021-0202-3","Article"
"Study on “shi” as a Demonstrative Pronoun in Modern Chinese","Chinese Lexical Semantics","","","","10.1007/978-3-642-36337-5_42","Shuhao QuYi Yu","2013","http://link.springer.com/chapter/10.1007/978-3-642-36337-5_42","Chapter"
"Discussing Redundancy Issues in Intelligent Agent-Based Non-traditional Grids","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/978-3-540-85565-1_37","Versavia AncusaRazvan BogdanMircea Vladutiu","2008","http://link.springer.com/chapter/10.1007/978-3-540-85565-1_37","Chapter"
"PIR-Based Motion Patterns Classification for AmI Systems","Natural and Artificial Computation in Engineering and Medical Applications","","","","10.1007/978-3-642-38622-0_37","Francisco Fernandez-LuqueJuan ZapataRamón Ruiz","2013","http://link.springer.com/chapter/10.1007/978-3-642-38622-0_37","Chapter"
"A Template-Based Approach for Generating Vietnamese References from Flat MR Dataset in Restaurant Domain","Future Data and Security Engineering. Big Data, Security and Privacy, Smart City and Industry 4.0 Applications","","","","10.1007/978-981-33-4370-2_17","Dang Tuan NguyenTrung Tran","2020","http://link.springer.com/chapter/10.1007/978-981-33-4370-2_17","Chapter"
"The Safety Detection for Double Tapered Roller Bearing Based on Deep Learning","Security, Privacy, and Anonymity in Computation, Communication, and Storage","","","","10.1007/978-3-030-05345-1_42","Jie TaoShaobo ZhangDalian Yang","2018","http://link.springer.com/chapter/10.1007/978-3-030-05345-1_42","Chapter"
"Review of intrusion detection systems based on deep learning techniques: coherent taxonomy, challenges, motivations, recommendations, substantial analysis and future directions","Neural Computing and Applications","","32","14","10.1007/s00521-019-04557-3","A. M. AleesaB. B. ZaidanA. A. ZaidanNan M. Sahar","2020","http://link.springer.com/article/10.1007/s00521-019-04557-3","Article"
"Practical voting rules with partial information","Autonomous Agents and Multi-Agent Systems","","22","1","10.1007/s10458-010-9133-6","Meir KalechSarit KrausGal A. KaminkaClaudia V. Goldman","2011","http://link.springer.com/article/10.1007/s10458-010-9133-6","Article"
"Fusion of Cryptographic Watermarking Medical Image System with Reversible Property","Computer Networks and Intelligent Computing","","","","10.1007/978-3-642-22786-8_67","Viswanathan P.Venkata Krishna P.","2011","http://link.springer.com/chapter/10.1007/978-3-642-22786-8_67","Chapter"
"Combining Human Ear and Profile Face Biometrics for Identity Recognition","Security and Privacy","","","","10.1007/978-981-33-6781-4_2","Partha Pratim SarangiMadhumita Panda","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_2","Chapter"
"Information Security Risk and Protective Measures of Computer Network in Big Data Age","Artificial Intelligence Algorithms and Applications","","","","10.1007/978-981-15-5577-0_56","Lei DengHaiping LiFanchun Li","2020","http://link.springer.com/chapter/10.1007/978-981-15-5577-0_56","Chapter"
"Round-Optimal Secure Multi-Party Computation","Advances in Cryptology – CRYPTO 2018","","","","10.1007/978-3-319-96881-0_17","Shai HaleviCarmit HazayAntigoni PolychroniadouMuthuramakrishnan Venkitasubramaniam","2018","http://link.springer.com/chapter/10.1007/978-3-319-96881-0_17","Chapter"
"Modeling Tourism Using Spatial Analysis Based on Social Media Big Data: A Review","Computational Science and Technology","","","","10.1007/978-981-33-4069-5_36","Zhu ChenRayner AlfredOliver Valentine Eboy","2021","http://link.springer.com/chapter/10.1007/978-981-33-4069-5_36","Chapter"
"Utilizing Facebook for professional integration of three ethnic groups in Israel","AI & SOCIETY","","","","10.1007/s00146-020-01131-7","Maayan Zhitomirsky-GeffetAvraham Weic","2021","http://link.springer.com/article/10.1007/s00146-020-01131-7","Article"
"Provably Insecure Group Authentication: Not All Security Proofs are What they Claim to Be","Security and Privacy","","","","10.1007/978-981-33-6781-4_13","Chris J Mitchell","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_13","Chapter"
"Multi-stream Progressive Up-Sampling Network for Dense CT Image Reconstruction","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_50","Qiuyue LiuZhen ZhouFeng LiuXiangming FangYizhou YuYizhou Wang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_50","Chapter"
"Examining the Capability of GANs to Replace Real Biomedical Images in Classification Models Training","Pattern Recognition and Information Processing","","","","10.1007/978-3-030-35430-5_9","Vassili KovalevSiarhei Kazlouski","2019","http://link.springer.com/chapter/10.1007/978-3-030-35430-5_9","Chapter"
"Synthetic Sample Selection via Reinforcement Learning","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_6","Jiarong YeYuan XueL. Rodney LongSameer AntaniZhiyun XueKeith C. ChengXiaolei Huang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_6","Chapter"
"Disentangled Representation Learning of Makeup Portraits in the Wild","International Journal of Computer Vision","","128","8 - 9","10.1007/s11263-019-01267-0","Yi LiHuaibo HuangJie CaoRan HeTieniu Tan","2020","http://link.springer.com/article/10.1007/s11263-019-01267-0","Article"
"AI Foundations","Implementing AI Systems","","","","10.1007/978-1-4842-6385-3_2","Tom Taulli","2021","http://link.springer.com/chapter/10.1007/978-1-4842-6385-3_2","Chapter"
"On the infeasibility of modeling polymorphic shellcode","Machine Learning","","81","2","10.1007/s10994-009-5143-5","Yingbo SongMichael E. LocastoAngelos StavrouAngelos D. KeromytisSalvatore J. Stolfo","2010","http://link.springer.com/article/10.1007/s10994-009-5143-5","Article"
"The SmarterContext Ontology and Its Application to the Smart Internet: A Smarter Commerce Case Study","The Personal Web","","","","10.1007/978-3-642-39995-4_8","Norha M. VillegasHausi A. Müller","2013","http://link.springer.com/chapter/10.1007/978-3-642-39995-4_8","Chapter"
"Predicted Robustness as QoS for Deep Neural Network Models","Journal of Computer Science and Technology","","35","5","10.1007/s11390-020-0482-6","Yue-Huan WangZe-Nan LiJing-Wei XuPing YuTaolue ChenXiao-Xing Ma","2020","http://link.springer.com/article/10.1007/s11390-020-0482-6","Article"
"Projective clustering ensembles","Data Mining and Knowledge Discovery","","26","3","10.1007/s10618-012-0266-x","Francesco GulloCarlotta DomeniconiAndrea Tagarelli","2013","http://link.springer.com/article/10.1007/s10618-012-0266-x","Article"
"Evaluation of Inpainting and Augmentation for Censored Image Queries","International Journal of Computer Vision","","129","4","10.1007/s11263-020-01403-1","Samuel BlackSomayeh KeshavarzRichard Souvenir","2021","http://link.springer.com/article/10.1007/s11263-020-01403-1","Article"
"Social Media in Higher Education: A Review of Their Uses, Benefits and Limitations","Technology in Education. Innovations for Online Teaching and Learning","","","","10.1007/978-981-33-4594-2_21","Kam Cheong LiBilly Tak-Ming Wong","2020","http://link.springer.com/chapter/10.1007/978-981-33-4594-2_21","Chapter"
"Multi-agent planning as search for a consensus that maximizes social welfare","Artificial Social Systems","","","","10.1007/3-540-58266-5_12","Eithan EphratiJeffrey S. Rosenschein","1994","http://link.springer.com/chapter/10.1007/3-540-58266-5_12","Chapter"
"The Inclusive Images Competition","The NeurIPS '18 Competition","","","","10.1007/978-3-030-29135-8_6","James AtwoodYoni HalpernPallavi BaljekarEric BreckD. SculleyPavel OstyakovSergey I. NikolenkoIgor IvanovRoman SolovyevWeimin WangMiha Skalic","2020","http://link.springer.com/chapter/10.1007/978-3-030-29135-8_6","Chapter"
"Adversarial Machine Learning: A Literature Review","Machine Learning and Data Mining in Pattern Recognition","","","","10.1007/978-3-319-96136-1_26","Sam ThomasNasseh Tabrizi","2018","http://link.springer.com/chapter/10.1007/978-3-319-96136-1_26","Chapter"
"Echocardiography Segmentation by Quality Translation Using Anatomically Constrained CycleGAN","Medical Image Computing and Computer Assisted Intervention – MICCAI 2019","","","","10.1007/978-3-030-32254-0_73","Mohammad H. JafariZhibin LiaoHany GirgisMehran PesteieRobert RohlingKen GinTerasa TsangPurang Abolmaesumi","2019","http://link.springer.com/chapter/10.1007/978-3-030-32254-0_73","Chapter"
"Deep Residual Neural Network for Child’s Spontaneous Facial Expressions Recognition","Structural, Syntactic, and Statistical Pattern Recognition","","","","10.1007/978-3-030-73973-7_27","Abdul QayyumImran Razzak","2021","http://link.springer.com/chapter/10.1007/978-3-030-73973-7_27","Chapter"
"OfGAN: Realistic Rendition of Synthetic Colonoscopy Videos","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_70","Jiabo XuSaeed AnwarNick BarnesFlorian GrimpenOlivier SalvadoStuart AndersonMohammad Ali Armin","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_70","Chapter"
"Narratives, Formalism, Computational Tools, and Nonlinearity","Language, Culture, Computation. Computing of the Humanities, Law, and Narratives","","","","10.1007/978-3-642-45324-3_11","Ephraim Nissan","2014","http://link.springer.com/chapter/10.1007/978-3-642-45324-3_11","Chapter"
"Fundamentals of Artificial Intelligence","Edge AI","","","","10.1007/978-981-15-6186-3_3","Xiaofei WangYiwen HanVictor C. M. LeungDusit NiyatoXueqiang YanXu Chen","2020","http://link.springer.com/chapter/10.1007/978-981-15-6186-3_3","Chapter"
"Learning opponent’s preferences for effective negotiation: an approach based on concept learning","Autonomous Agents and Multi-Agent Systems","","24","1","10.1007/s10458-010-9147-0","Reyhan AydoğanPınar Yolum","2012","http://link.springer.com/article/10.1007/s10458-010-9147-0","Article"
"Small Codes for Big Signals","Applied Machine Learning","","","","10.1007/978-3-030-18114-7_19","David Forsyth","2019","http://link.springer.com/chapter/10.1007/978-3-030-18114-7_19","Chapter"
"Computation And Communication Efficient Chinese Remainder Theorem Based Multi-Party Key Generation Using Modified RSA","Security and Privacy","","","","10.1007/978-981-33-6781-4_3","Arjun Singh RawatMaroti Deshmukh","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_3","Chapter"
"Health Monitoring of Hydraulic System Using Feature-based Multivariate Time-series Classification Model","Security and Privacy","","","","10.1007/978-981-33-6781-4_7","Ananda Shivani MedishettyNavya Sahithi MuthavarapuSai Goutham GoliB SirishaB Sandhya","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_7","Chapter"
"Iris Recognition Using Improved Xor-Sum Code","Security and Privacy","","","","10.1007/978-981-33-6781-4_9","Neeru BalaRitesh VyasRashmi GuptaAnil Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_9","Chapter"
